service,path,classes
summons-svc,integration-services/summons-svc/src/main/java/digit/service/SummonsService.java,Producer
summons-svc,integration-services/summons-svc/src/main/java/digit/enrichment/SummonsDeliveryEnrichment.java,IdgenUtil
summons-svc,integration-services/summons-svc/src/main/java/digit/util/OrderUtil.java,ServiceRequestRepository
summons-svc,integration-services/summons-svc/src/main/java/digit/channel/EmailChannel.java,Producer
summons-svc,integration-services/summons-svc/src/main/java/digit/channel/SMSChannel.java,Producer
summons-svc,integration-services/summons-svc/src/test/java/digit/service/SummonsServiceTest.java,Producer
summons-svc,integration-services/summons-svc/src/test/java/digit/service/DemandServiceTest.java,ServiceRequestRepository
summons-svc,integration-services/summons-svc/src/test/java/digit/util/IdgenUtilTest.java,ServiceRequestRepository
evidence,dristi-services/evidence/src/main/java/org/pucar/dristi/service/EvidenceService.java,Producer
evidence,dristi-services/evidence/src/main/java/org/pucar/dristi/service/EmailNotificationService.java,Producer
evidence,dristi-services/evidence/src/main/java/org/pucar/dristi/service/EvidenceStatusUpdateService.java,Producer
evidence,dristi-services/evidence/src/main/java/org/pucar/dristi/service/IndividualService.java,IndividualUtil
evidence,dristi-services/evidence/src/main/java/org/pucar/dristi/service/SmsNotificationService.java,Producer
evidence,dristi-services/evidence/src/test/java/org/pucar/dristi/service/EvidenceStatusUpdateServiceTest.java,Producer
evidence,dristi-services/evidence/src/test/java/org/pucar/dristi/service/EvidenceServiceTest.java,Producer
task,dristi-services/task/src/main/java/org/pucar/dristi/service/PaymentUpdateService.java,Producer
task,dristi-services/task/src/main/java/org/pucar/dristi/service/TaskService.java,Producer
task,dristi-services/task/src/main/java/org/pucar/dristi/service/IndividualService.java,IndividualUtil
task,dristi-services/task/src/main/java/org/pucar/dristi/service/SmsNotificationService.java,Producer
task,dristi-services/task/src/main/java/org/pucar/dristi/enrichment/ApprovedTopic.java,Producer
task,dristi-services/task/src/main/java/org/pucar/dristi/enrichment/RejectedTopic.java,Producer
task,dristi-services/task/src/test/java/org/pucar/dristi/service/TaskServiceTest.java,Producer
task,dristi-services/task/src/test/java/org/pucar/dristi/service/PaymentUpdateServiceTest.java,Producer
treasury-backend,integration-services/treasury-backend/src/main/java/org/egov/eTreasury/service/SMSNotificationService.java,Producer
treasury-backend,integration-services/treasury-backend/src/main/java/org/egov/eTreasury/service/IndividualService.java,IndividualUtil
treasury-backend,integration-services/treasury-backend/src/main/java/org/egov/eTreasury/service/PaymentService.java,Producer
treasury-backend,integration-services/treasury-backend/src/test/java/org/egov/eTreasury/service/PaymentServiceTest.java,Producer
task-management,dristi-services/task-management/src/main/java/digit/service/TaskManagementService.java,Producer
